"West Palm Beach/Palm Beach, FL",11,65
"Jackson, WY",11,4
"Myrtle Beach, SC",11,12
"Miami, FL",11,183
"Yuma, AZ",11,11
"Mosinee, WI",11,5
"El Paso, TX",11,62
"Longview, TX",11,1
"Toledo, OH",11,3
"Buffalo, NY",11,71
"Memphis, TN",11,220
"Cedar Rapids/Iowa City, IA",11,16
"Kotzebue, AK",11,3
"Jackson/Vicksburg, MS",11,34
"Bozeman, MT",11,12
"Anchorage, AK",11,44
"Sioux Falls, SD",11,20
"Boston, MA",11,335
"Alexandria, LA",11,10
"Bangor, ME",11,1
"Fresno, CA",11,33
"Aguadilla, PR",11,4
"Bellingham, WA",11,1
"Atlanta, GA",11,1183
"Barrow, AK",11,3
"Evansville, IN",11,12
"Ontario, CA",11,68
"Tulsa, OK",11,59
"Greer, SC",11,33
"Manhattan/Ft. Riley, KS",11,3
"St. Louis, MO",11,173
"Cedar City, UT",11,2
"Mobile, AL",11,20
"Providence, RI",11,59
"Columbus, MS",11,2
"Monroe, LA",11,8
"Fayetteville, NC",11,12
"Burbank, CA",11,75
"New Orleans, LA",11,114
"Marquette, MI",11,4
"Cleveland, OH",11,165
"Valparaiso, FL",11,22
"Colorado Springs, CO",11,35
"Orlando, FL",11,319
"Medford, OR",11,12
"Erie, PA",11,3
"Los Angeles, CA",11,560
"Tallahassee, FL",11,14
"Charlotte, NC",11,395
"Islip, NY",11,21
"Nome, AK",11,3
"State College, PA",11,3
"Sitka, AK",11,3
"Spokane, WA",11,38
"Helena, MT",11,5
"Melbourne, FL",11,5
"Hilo, HI",11,20
"Allentown/Bethlehem/Easton, PA",11,12
"Asheville, NC",11,15
"Lihue, HI",11,29
"Tampa, FL",11,184
"Louisville, KY",11,51
"Key West, FL",11,4
"Fargo, ND",11,20
"Chattanooga, TN",11,13
"Eau Claire, WI",11,3
"San Francisco, CA",11,391
"Lake Charles, LA",11,3
"Brownsville, TX",11,7
"Petersburg, AK",11,2
"Ponce, PR",11,2
"Indianapolis, IN",11,100
"Mission/McAllen/Edinburg, TX",11,13
"Fort Lauderdale, FL",11,159
"New Bern/Morehead/Beaufort, NC",11,3
"Cordova, AK",11,2
"Charleston/Dunbar, WV",11,15
"Kansas City, MO",11,144
"Meridian, MS",11,2
"Bloomington/Normal, IL",11,14
"Birmingham, AL",11,60
"Atlantic City, NJ",11,2
"Salt Lake City, UT",11,353
"Charleston, SC",11,36
"Boise, ID",11,43
"Billings, MT",11,10
"Norfolk, VA",11,48
